Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-6.0206,1.41421,474,100,101,0.146658,0.990099,0.000655476,6.48986e-06
1,-5.0206,1.26042,394,100,100,0.123125,1,0.000536528,5.36528e-06
2,-4.0206,1.12335,291,100,104,0.0874399,0.961538,0.000540113,5.19339e-06
3,-3.0206,1.00119,255,100,114,0.0699013,0.877193,0.000590898,5.18332e-06
4,-2.0206,0.892308,197,100,135,0.0456019,0.740741,0.000692597,5.13035e-06
5,-1.0206,0.795271,161,100,152,0.0331003,0.657895,0.00106816,7.02737e-06
6,-0.0206003,0.708786,133,100,225,0.0184722,0.444444,0.00138241,6.14404e-06
7,0.9794,0.631706,121,100,451,0.00838415,0.221729,0.00221498,4.91126e-06
8,1.9794,0.563009,110,100,885,0.00388418,0.112994,0.00430707,4.86675e-06
9,2.9794,0.501782,103,100,2157,0.00149223,0.0463607,0.0104622,4.85035e-06
10,3.9794,0.447214,101,100,6725,0.000469331,0.0148699,0.0327349,4.86765e-06
11,4.9794,0.39858,100,100,31837,9.81562e-05,0.003141,0.15642,4.91316e-06
12,5.9794,0.355234,100,100,178159,1.75405e-05,0.000561296,0.866863,4.86567e-06
13,6.9794,0.316603,100,100,1738848,1.79717e-06,5.75093e-05,8.49735,4.88677e-06
14,7.9794,0.282173,100,100,23521325,1.32858e-07,4.25146e-06,115.812,4.9237e-06
15,8.9794,0.251487,100,100,933833925,3.34642e-09,1.07085e-07,4545.34,4.86739e-06
