Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-4.77121,1.22474,255,100,110,0.0724432,0.909091,0.00074217,6.747e-06
1,-3.77121,1.09155,218,100,115,0.0592391,0.869565,0.000696505,6.05657e-06
2,-2.77121,0.972849,176,100,143,0.0384615,0.699301,0.000872256,6.09969e-06
3,-1.77121,0.867053,145,100,204,0.022212,0.490196,0.0012611,6.18187e-06
4,-0.771213,0.772762,131,100,308,0.0132914,0.324675,0.00216024,7.01376e-06
5,0.228787,0.688725,109,100,586,0.00581271,0.170648,0.00327292,5.58518e-06
6,1.22879,0.613827,105,100,1262,0.00260004,0.0792393,0.00643591,5.09977e-06
7,2.22879,0.547073,101,100,3975,0.000794025,0.0251572,0.0181949,4.57733e-06
8,3.22879,0.48758,100,100,16613,0.000188106,0.00601938,0.0644016,3.87658e-06
9,4.22879,0.434556,100,100,97587,3.20227e-05,0.00102473,0.376093,3.85393e-06
10,5.22879,0.387298,100,100,760577,4.10872e-06,0.000131479,2.91879,3.8376e-06
11,6.22879,0.34518,100,100,14077906,2.21979e-07,7.10333e-06,53.988,3.83495e-06
12,7.22879,0.307642,100,100,338304145,9.23725e-09,2.95592e-07,1297.4,3.83501e-06
