Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-6.0206,1.41421,2365,500,504,0.146639,0.992063,0.00231505,4.59335e-06
1,-5.0206,1.26042,1948,500,514,0.118434,0.972763,0.00190985,3.71566e-06
2,-4.0206,1.12335,1579,500,529,0.0932774,0.94518,0.00126282,2.38719e-06
3,-3.0206,1.00119,1203,500,558,0.0673723,0.896057,0.00126215,2.26192e-06
4,-2.0206,0.892308,975,500,644,0.0473117,0.776398,0.00151678,2.35525e-06
5,-1.0206,0.795271,764,500,789,0.0302598,0.633714,0.00147768,1.87285e-06
6,-0.0206003,0.708786,660,500,1086,0.0189917,0.460405,0.00237777,2.18947e-06
7,0.9794,0.631706,560,500,2038,0.00858685,0.245339,0.00360763,1.77018e-06
8,1.9794,0.563009,536,500,4043,0.00414296,0.123671,0.00770603,1.90602e-06
9,2.9794,0.501782,512,500,10351,0.00154574,0.0483045,0.0154033,1.4881e-06
10,3.9794,0.447214,504,500,33440,0.000470993,0.0149522,0.0345517,1.03324e-06
11,4.9794,0.39858,500,500,152473,0.000102477,0.00327927,0.11767,7.71745e-07
12,5.9794,0.355234,500,500,850533,1.83708e-05,0.000587867,0.601581,7.07299e-07
13,6.9794,0.316603,500,500,7869797,1.98544e-06,6.3534e-05,5.33952,6.78482e-07
14,7.9794,0.282173,500,500,131793466,1.18557e-07,3.79381e-06,87.1224,6.61052e-07
15,8.9794,0.251487,500,500,4038172390,3.86932e-09,1.23818e-07,2737.23,6.77838e-07
