Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-4.77121,1.22474,1396,500,543,0.0803407,0.92081,0.00183246,3.3747e-06
1,-3.77121,1.09155,1062,500,580,0.0572198,0.862069,0.00114706,1.97768e-06
2,-2.77121,0.972849,838,500,713,0.0367286,0.701262,0.0010531,1.477e-06
3,-1.77121,0.867053,677,500,987,0.0214349,0.506586,0.000989642,1.00268e-06
4,-0.771213,0.772762,593,500,1480,0.0125211,0.337838,0.00164641,1.11244e-06
5,0.228787,0.688725,538,500,2779,0.00604984,0.179921,0.002167,7.79778e-07
6,1.22879,0.613827,525,500,6550,0.00250477,0.0763359,0.00472705,7.21687e-07
7,2.22879,0.547073,507,500,19259,0.000822667,0.0259619,0.0134967,7.00801e-07
8,3.22879,0.48758,501,500,79663,0.000196531,0.00627644,0.0503907,6.32549e-07
9,4.22879,0.434556,500,500,446657,3.49821e-05,0.00111943,0.24924,5.58012e-07
10,5.22879,0.387298,500,500,3741197,4.17647e-06,0.000133647,2.05523,5.4935e-07
11,6.22879,0.34518,500,500,63650246,2.45482e-07,7.85543e-06,34.3881,5.40267e-07
