Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,414,100,102,0.126838,0.980392,29.7909,0.292067,0.109564
1,-23.0824,10.0834,302,100,104,0.0907452,0.961538,24.2586,0.233256,0.137188
2,-22.0824,8.9868,236,100,111,0.0664414,0.900901,24.6866,0.222402,0.143883
3,-21.0824,8.00949,164,100,146,0.0351027,0.684932,32.4957,0.222574,0.143773
4,-20.0824,7.13847,135,100,201,0.0209888,0.497512,44.6835,0.222306,0.143946
5,-19.0824,6.36217,116,100,376,0.00964096,0.265957,83.5524,0.222214,0.144006
6,-18.0824,5.67029,108,100,970,0.00347938,0.103093,215.349,0.222009,0.144138
7,-17.0824,5.05365,103,100,2467,0.00130472,0.0405351,547.151,0.221788,0.144282
8,-16.0824,4.50407,100,100,8934,0.000349787,0.0111932,1981.75,0.221821,0.14426
9,-15.0824,4.01426,100,100,53928,5.79476e-05,0.00185432,11955.3,0.221689,0.144346
10,-14.0824,3.57771,100,100,512970,6.09197e-06,0.000194943,113725,0.221699,0.14434
