Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-6.0206,1.41421,317,100,104,0.0952524,0.961538,0.00180857,1.73901e-05
1,-5.0206,1.26042,233,100,112,0.0650112,0.892857,0.000631124,5.63504e-06
2,-4.0206,1.12335,178,100,143,0.0388986,0.699301,0.000780089,5.45517e-06
3,-3.0206,1.00119,165,100,168,0.030692,0.595238,0.000915933,5.45198e-06
4,-2.0206,0.892308,118,100,282,0.0130762,0.35461,0.00153391,5.43938e-06
5,-1.0206,0.795271,113,100,389,0.00907776,0.257069,0.00230737,5.93154e-06
6,-0.0206003,0.708786,102,100,1054,0.00302419,0.0948767,0.00541352,5.13617e-06
7,0.9794,0.631706,101,100,4208,0.000750059,0.0237643,0.0190635,4.53029e-06
8,1.9794,0.563009,101,100,15802,0.000199737,0.00632831,0.0594626,3.76298e-06
9,2.9794,0.501782,100,100,70800,4.41384e-05,0.00141243,0.261341,3.69126e-06
10,3.9794,0.447214,100,100,511377,6.11095e-06,0.00019555,1.88423,3.68462e-06
