Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-24.0824,11.3137,394,100,102,0.120711,0.980392,0.0339347,0.000332693
1,-23.0824,10.0834,306,100,104,0.0919471,0.961538,0.0269437,0.000259074
2,-22.0824,8.9868,269,100,114,0.073739,0.877193,0.028308,0.000248316
3,-21.0824,8.00949,211,100,120,0.0549479,0.833333,0.0297552,0.00024796
4,-20.0824,7.13847,163,100,139,0.0366457,0.719424,0.0344744,0.000248017
5,-19.0824,6.36217,136,100,196,0.0216837,0.510204,0.0486904,0.00024842
6,-18.0824,5.67029,121,100,344,0.010992,0.290698,0.0852733,0.000247888
7,-17.0824,5.05365,116,100,575,0.00630435,0.173913,0.142449,0.000247737
8,-16.0824,4.50407,106,100,1443,0.00229556,0.0693001,0.357348,0.000247643
9,-15.0824,4.01426,103,100,4418,0.000728554,0.0226347,1.09542,0.000247944
10,-14.0824,3.57771,100,100,18650,0.00016756,0.00536193,4.61734,0.000247579
11,-13.0824,3.18864,100,100,90203,3.46441e-05,0.00110861,22.3333,0.000247589
12,-12.0824,2.84188,100,100,883842,3.5357e-06,0.000113142,218.8,0.000247556
13,-11.0824,2.53282,100,100,14610080,2.13893e-07,6.84459e-06,3617.28,0.000247588
