Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,1348,100,100,0.42125,1,39.6489,0.396489,0.0807084
1,-23.0824,10.0834,1207,100,100,0.377187,1,31.6396,0.316396,0.101139
2,-22.0824,8.9868,1031,100,100,0.322188,1,31.2196,0.312196,0.1025
3,-21.0824,8.00949,752,100,100,0.235,1,31.2021,0.312021,0.102557
4,-20.0824,7.13847,543,100,100,0.169687,1,31.2599,0.312599,0.102368
5,-19.0824,6.36217,351,100,101,0.108601,0.990099,31.5222,0.312101,0.102531
6,-18.0824,5.67029,214,100,114,0.0586623,0.877193,35.6149,0.312411,0.102429
7,-17.0824,5.05365,154,100,163,0.0295245,0.613497,50.8834,0.312168,0.102509
8,-16.0824,4.50407,122,100,335,0.0113806,0.298507,104.521,0.312003,0.102563
9,-15.0824,4.01426,105,100,818,0.00401131,0.122249,255.251,0.312042,0.10255
10,-14.0824,3.57771,100,100,3184,0.00098147,0.031407,993.099,0.311903,0.102596
11,-13.0824,3.18864,100,100,22186,0.000140855,0.00450735,6918.71,0.31185,0.102613
12,-12.0824,2.84188,100,100,162663,1.92115e-05,0.000614768,50782.3,0.312193,0.102501
13,-11.0824,2.53282,100,100,3227514,9.68237e-07,3.09836e-05,1.00779e+06,0.31225,0.102482
