Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-24.0824,11.3137,1571,100,100,0.490938,1,0.0331449,0.000331449
1,-23.0824,10.0834,1645,100,100,0.514063,1,0.0266294,0.000266294
2,-22.0824,8.9868,1590,100,100,0.496875,1,0.0259498,0.000259498
3,-21.0824,8.00949,1587,100,100,0.495937,1,0.0259363,0.000259363
4,-20.0824,7.13847,1569,100,100,0.490312,1,0.0260032,0.000260032
5,-19.0824,6.36217,1604,100,100,0.50125,1,0.0259487,0.000259487
6,-18.0824,5.67029,1639,100,100,0.512187,1,0.0260231,0.000260231
7,-17.0824,5.05365,1630,100,100,0.509375,1,0.0259934,0.000259934
8,-16.0824,4.50407,1565,100,100,0.489062,1,0.0259253,0.000259253
9,-15.0824,4.01426,1619,100,100,0.505938,1,0.0259363,0.000259363
10,-14.0824,3.57771,1550,100,100,0.484375,1,0.0258966,0.000258966
11,-13.0824,3.18864,1321,100,100,0.412813,1,0.0259686,0.000259686
12,-12.0824,2.84188,767,100,100,0.239688,1,0.0258822,0.000258822
13,-11.0824,2.53282,256,100,109,0.0733945,0.917431,0.0281397,0.000258162
14,-10.0824,2.25738,105,100,457,0.00717998,0.218818,0.118325,0.000258916
