Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,1580,100,100,0.49375,1,37.7336,0.377336,0.084805
1,-23.0824,10.0834,1594,100,100,0.498125,1,30.6462,0.306462,0.104418
2,-22.0824,8.9868,1606,100,100,0.501875,1,30.3611,0.303611,0.105398
3,-21.0824,8.00949,1596,100,100,0.49875,1,30.4055,0.304055,0.105244
4,-20.0824,7.13847,1847,100,100,0.577187,1,30.364,0.30364,0.105388
5,-19.0824,6.36217,2622,100,100,0.819375,1,30.4009,0.304009,0.10526
6,-18.0824,5.67029,3097,100,100,0.967812,1,30.3518,0.303518,0.10543
7,-17.0824,5.05365,3141,100,100,0.981562,1,30.3605,0.303605,0.1054
8,-16.0824,4.50407,3081,100,100,0.962812,1,30.3218,0.303218,0.105535
9,-15.0824,4.01426,2943,100,100,0.919688,1,30.3285,0.303285,0.105511
10,-14.0824,3.57771,2760,100,100,0.8625,1,30.3388,0.303388,0.105475
11,-13.0824,3.18864,2513,100,100,0.785312,1,30.4252,0.304252,0.105176
12,-12.0824,2.84188,1975,100,100,0.617188,1,30.3546,0.303546,0.105421
13,-11.0824,2.53282,1400,100,100,0.4375,1,30.3428,0.303428,0.105462
14,-10.0824,2.25738,1237,100,100,0.386562,1,30.3738,0.303738,0.105354
