Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-24.0824,11.3137,1592,100,100,0.4975,1,0.0316087,0.000316087
1,-23.0824,10.0834,1683,100,100,0.525937,1,0.025701,0.00025701
2,-22.0824,8.9868,1657,100,100,0.517812,1,0.0254339,0.000254339
3,-21.0824,8.00949,1631,100,100,0.509687,1,0.0252599,0.000252599
4,-20.0824,7.13847,1884,100,100,0.58875,1,0.0253053,0.000253053
5,-19.0824,6.36217,2609,100,100,0.815313,1,0.0253365,0.000253365
6,-18.0824,5.67029,3117,100,100,0.974063,1,0.0253531,0.000253531
7,-17.0824,5.05365,3146,100,100,0.983125,1,0.0251425,0.000251425
8,-16.0824,4.50407,3072,100,100,0.96,1,0.0251777,0.000251777
9,-15.0824,4.01426,2938,100,100,0.918125,1,0.0253124,0.000253124
10,-14.0824,3.57771,2800,100,100,0.875,1,0.0251554,0.000251554
11,-13.0824,3.18864,2520,100,100,0.7875,1,0.0252115,0.000252115
12,-12.0824,2.84188,1915,100,100,0.598437,1,0.0252112,0.000252112
13,-11.0824,2.53282,1423,100,100,0.444687,1,0.0252846,0.000252846
14,-10.0824,2.25738,1244,100,100,0.38875,1,0.0251991,0.000251991
