Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,434,100,101,0.134282,0.990099,31.8904,0.315747,0.101347
1,-23.0824,10.0834,353,100,102,0.10815,0.980392,27.9292,0.273816,0.116867
2,-22.0824,8.9868,279,100,108,0.0807292,0.925926,29.6093,0.27416,0.11672
3,-21.0824,8.00949,221,100,124,0.0556956,0.806452,36.7378,0.296273,0.108009
4,-20.0824,7.13847,163,100,147,0.0346514,0.680272,42.5714,0.289601,0.110497
5,-19.0824,6.36217,139,100,189,0.0229828,0.529101,55.7226,0.294829,0.108538
6,-18.0824,5.67029,119,100,329,0.0113032,0.303951,99.2407,0.301644,0.106085
7,-17.0824,5.05365,108,100,608,0.00555099,0.164474,154.387,0.253926,0.126021
8,-16.0824,4.50407,101,100,1406,0.00224484,0.0711238,370.566,0.26356,0.121414
9,-15.0824,4.01426,100,100,3571,0.000875105,0.0280034,949.014,0.265756,0.120411
10,-14.0824,3.57771,101,100,16797,0.000187906,0.00595344,4173.79,0.248484,0.128781
11,-13.0824,3.18864,100,100,89202,3.50328e-05,0.00112105,22223.8,0.249141,0.128442
12,-12.0824,2.84188,100,100,906329,3.44798e-06,0.000110335,224867,0.248107,0.128977
13,-11.0824,2.53282,100,100,16448053,1.89992e-07,6.07975e-06,4.0695e+06,0.247415,0.129337
