Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-6.0206,1.41421,258,100,112,0.0719866,0.892857,0.000482511,4.30813e-06
1,-5.0206,1.26042,198,100,116,0.0533405,0.862069,0.000415853,3.58494e-06
2,-4.0206,1.12335,177,100,150,0.036875,0.666667,0.000547377,3.64918e-06
3,-3.0206,1.00119,132,100,183,0.022541,0.546448,0.000646805,3.53445e-06
4,-2.0206,0.892308,128,100,296,0.0135135,0.337838,0.00102403,3.45957e-06
5,-1.0206,0.795271,106,100,676,0.00490015,0.147929,0.00235412,3.48243e-06
6,-0.0206003,0.708786,103,100,1061,0.00303369,0.0942507,0.00485606,4.57687e-06
7,0.9794,0.631706,100,100,4398,0.00071055,0.0227376,0.018415,4.18713e-06
8,1.9794,0.563009,100,100,14709,0.000212455,0.00679856,0.0523835,3.56132e-06
9,2.9794,0.501782,100,100,85340,3.66182e-05,0.00117178,0.293972,3.44471e-06
10,3.9794,0.447214,100,100,684093,4.56809e-06,0.000146179,2.35778,3.44658e-06
