Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,528,100,100,0.165,1,23.4836,0.234836,0.136265
1,-23.0824,10.0834,404,100,103,0.122573,0.970874,24.484,0.237709,0.134619
2,-22.0824,8.9868,257,100,109,0.0736812,0.917431,26.7488,0.245402,0.130398
3,-21.0824,8.00949,182,100,129,0.0440891,0.775194,33.6846,0.261121,0.122549
4,-20.0824,7.13847,154,100,167,0.0288174,0.598802,39.1708,0.234555,0.136428
5,-19.0824,6.36217,121,100,297,0.0127315,0.3367,67.7457,0.2281,0.140289
6,-18.0824,5.67029,113,100,691,0.00511035,0.144718,171.969,0.24887,0.128581
7,-17.0824,5.05365,102,100,2374,0.00134267,0.042123,550.273,0.231792,0.138055
8,-16.0824,4.50407,100,100,7616,0.00041032,0.0131303,1731.12,0.227301,0.140783
9,-15.0824,4.01426,100,100,38577,8.10068e-05,0.00259222,8767.45,0.227271,0.140801
10,-14.0824,3.57771,100,100,381007,8.20195e-06,0.000262462,86544.7,0.227147,0.140878
11,-13.0824,3.18864,100,100,7190179,4.34621e-07,1.39079e-05,1.62935e+06,0.226607,0.141213
