Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-24.0824,11.3137,556,100,100,0.17375,1,0.0299091,0.000299091
1,-23.0824,10.0834,399,100,102,0.122243,0.980392,0.0242919,0.000238156
2,-22.0824,8.9868,271,100,109,0.077695,0.917431,0.0250357,0.000229685
3,-21.0824,8.00949,183,100,121,0.0472624,0.826446,0.0277598,0.00022942
4,-20.0824,7.13847,154,100,185,0.0260135,0.540541,0.0425136,0.000229803
5,-19.0824,6.36217,118,100,301,0.0122508,0.332226,0.0687896,0.000228537
6,-18.0824,5.67029,113,100,636,0.00555228,0.157233,0.145584,0.000228906
7,-17.0824,5.05365,104,100,1849,0.00175771,0.0540833,0.422506,0.000228505
8,-16.0824,4.50407,100,100,8824,0.000354148,0.0113327,2.01322,0.000228152
9,-15.0824,4.01426,100,100,41929,7.45308e-05,0.00238498,9.55643,0.000227919
10,-14.0824,3.57771,100,100,440250,7.09824e-06,0.000227144,100.246,0.000227704
11,-13.0824,3.18864,100,100,5731494,5.45233e-07,1.74475e-05,1304.92,0.000227675
