Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,394,100,102,0.120711,0.980392,29.0389,0.284695,0.112401
1,-23.0824,10.0834,301,100,104,0.0904447,0.961538,23.0856,0.221977,0.144159
2,-22.0824,8.9868,217,100,122,0.055584,0.819672,29.8937,0.245031,0.130596
3,-21.0824,8.00949,158,100,144,0.0342882,0.694444,41.1907,0.286047,0.11187
4,-20.0824,7.13847,137,100,191,0.0224149,0.52356,43.6377,0.22847,0.140062
5,-19.0824,6.36217,116,100,364,0.00995879,0.274725,88.0111,0.241789,0.132347
6,-18.0824,5.67029,108,100,711,0.00474684,0.140647,163.175,0.229501,0.139433
7,-17.0824,5.05365,101,100,2292,0.00137707,0.04363,659.822,0.28788,0.111157
8,-16.0824,4.50407,100,100,11098,0.000281582,0.00901063,2522.14,0.227261,0.140807
9,-15.0824,4.01426,100,100,47932,6.51965e-05,0.00208629,10594.2,0.221026,0.144779
10,-14.0824,3.57771,100,100,437622,7.14087e-06,0.000228508,96433.6,0.220358,0.145218
11,-13.0824,3.18864,100,100,7919721,3.94585e-07,1.26267e-05,1.74294e+06,0.220076,0.145405
