Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-24.0824,11.3137,414,100,101,0.128094,0.990099,0.0290816,0.000287937
1,-23.0824,10.0834,325,100,105,0.0967262,0.952381,0.0243695,0.00023209
2,-22.0824,8.9868,240,100,109,0.0688073,0.917431,0.0240807,0.000220924
3,-21.0824,8.00949,167,100,141,0.0370124,0.70922,0.031162,0.000221007
4,-20.0824,7.13847,140,100,180,0.0243056,0.555556,0.0397349,0.00022075
5,-19.0824,6.36217,112,100,414,0.00845411,0.241546,0.0912582,0.00022043
6,-18.0824,5.67029,103,100,803,0.00400841,0.124533,0.176918,0.000220321
7,-17.0824,5.05365,103,100,2667,0.00120688,0.0374953,0.588068,0.000220498
8,-16.0824,4.50407,100,100,10958,0.00028518,0.00912575,2.41828,0.000220686
9,-15.0824,4.01426,100,100,46736,6.68649e-05,0.00213968,10.3064,0.000220525
10,-14.0824,3.57771,100,100,485386,6.43818e-06,0.000206022,107.014,0.000220472
11,-13.0824,3.18864,100,100,9345727,3.34377e-07,1.07001e-05,2060.09,0.000220432
