Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,287,100,105,0.0854167,0.952381,23.9071,0.227687,0.140544
1,-23.0824,10.0834,223,100,124,0.0561996,0.806452,26.9697,0.217497,0.147128
2,-22.0824,8.9868,167,100,158,0.0330301,0.632911,34.3065,0.21713,0.147377
3,-21.0824,8.00949,135,100,202,0.0208849,0.49505,48.2104,0.238665,0.134079
4,-20.0824,7.13847,122,100,326,0.0116948,0.306748,72.5482,0.22254,0.143794
5,-19.0824,6.36217,109,100,612,0.00556577,0.163399,133.79,0.218612,0.146378
6,-18.0824,5.67029,105,100,1495,0.00219482,0.0668896,326.951,0.218696,0.146322
7,-17.0824,5.05365,100,100,3705,0.000843455,0.0269906,863.282,0.233005,0.137336
8,-16.0824,4.50407,101,100,17133,0.000184221,0.00583669,3736.42,0.218083,0.146733
9,-15.0824,4.01426,101,100,99575,3.16972e-05,0.00100427,21721.2,0.218139,0.146696
10,-14.0824,3.57771,100,100,939400,3.32659e-06,0.000106451,203849,0.216999,0.147466
11,-13.0824,3.18864,100,100,9814694,3.184e-07,1.01888e-05,2.12793e+06,0.21681,0.147594
