Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-24.0824,11.3137,279,100,109,0.0799885,0.917431,0.0303136,0.000278107
1,-23.0824,10.0834,202,100,117,0.053953,0.854701,0.0263106,0.000224877
2,-22.0824,8.9868,178,100,149,0.0373322,0.671141,0.0322885,0.000216701
3,-21.0824,8.00949,141,100,177,0.0248941,0.564972,0.0383972,0.000216933
4,-20.0824,7.13847,131,100,275,0.0148864,0.363636,0.0595693,0.000216616
5,-19.0824,6.36217,104,100,511,0.00636008,0.195695,0.1106,0.000216439
6,-18.0824,5.67029,105,100,1298,0.00252793,0.0770416,0.280733,0.000216281
7,-17.0824,5.05365,100,100,4365,0.000715922,0.0229095,0.9508,0.000217824
8,-16.0824,4.50407,100,100,19410,0.000160999,0.00515198,4.20151,0.000216461
9,-15.0824,4.01426,100,100,93670,3.33618e-05,0.00106758,20.2666,0.000216361
10,-14.0824,3.57771,100,100,733711,4.25917e-06,0.000136293,158.767,0.00021639
11,-13.0824,3.18864,100,100,10442186,2.99267e-07,9.57654e-06,2259.41,0.000216373
